,nome,preço à vista,preço à prazo
0,Micro-ondas Electrolux 27L MS37R,"R$ 711,55","R$ 749,00"
1,Panela de Pressão Elétrica Electrolux Digital - PCC20 1000W 6L Controle de Temperatura,Não disponível,Não disponível
2,"Notebook Lenovo IdeaPad 3i Intel Core i5 8GB - 256GB SSD 15,6” Full HD Windows 11 82MD0007BR","R$ 2.556,57","R$ 2.749,00"
3,"Notebook Gamer Lenovo Gaming 3i Intel Core i5 8GB - 512GB SSD 15,5” FullHD NVIDIA GTX 1650 Windows 11","R$ 3.509,10","R$ 3.899,00"
4,Cafeteira Expresso 19 Bar Oster PrimaLatte - Vermelho,Não disponível,Não disponível
5,"Apple iPhone 14 Pro 256GB Dourado 6,1” 48MP","R$ 7.998,99","R$ 8.887,77"
6,Apple Watch Series 8 41mm GPS + Cellular Caixa Estelar Alumínio Pulseira Esportiva,Não disponível,Não disponível
7,"Smartphone Samsung Galaxy S23 Ultra 256GB Preto 5G 12GB RAM 6,8” Câm. Quádrupla + Selfie 12MP",Não disponível,Não disponível
8,Lavadora de Roupas Consul 12kg - 16 Programas de Lavagem Branca CWH12BB,"R$ 1.718,55","R$ 1.809,00"
9,Smart TV 55” 4K OLED Samsung QN55S90CA - 144Hz Wi-Fi Bluetooth com Alexa 4 HDMI 2 USB,"R$ 4.996,05","R$ 5.259,00"
